,Territory,Inventory Name,Total_revenue,ABC_revenue,Product_Margin,ABC_Margin_mode,ABC(Rev-Mar),total_revenue,CoV,std_dev,average_revenue,Territory_XYZ,ABC_XYZ
0,Abuja,Devon King's Cooking Oil 25L,88439380.0,A,0.047619047619047616,B,AB,88439380.0,1.484585855668611,11935986.602918312,8039943.636363637,Z,ABZ
1,Abuja,Golden Penny Spaghetti 500g,84236614.12,A,0.08990389605437918,A,AA,84236614.12,1.3281301793020908,10170653.583181513,7657874.010909092,Z,AAZ
2,Abuja,IRS FLOUR 50KG,80921700.0,A,0.02337561904761907,C,AC,80921700.0,1.5851464710245875,11661158.834937306,7356518.181818182,Z,ACZ
3,Abuja,Devon King's Cooking Oil 5L,72945550.0,A,0.04,B,AB,72945550.0,1.30141714653298,8630235.412116257,6631413.636363637,Z,ABZ
4,Abuja,Maltina Malt Can 33cl*24,67446465.19,A,0.00933439399991624,C,AC,67446465.19,0.882143734331232,5408861.515468004,6131496.835454545,Y,ACY
5,Abuja,Amstel Malt Can 33cl*24,63419953.63,A,0.020306182607406516,C,AC,63419953.63,0.9802218849220435,5651420.589897018,5765450.33,Y,ACY
6,Abuja,BUA White Sugar Premium Refined 50kg,48133395.21,A,0.03749989921874373,B,AB,48133395.21,1.4841059806189774,6494096.336241622,4375763.200909091,Z,ABZ
7,Abuja,Supreme Noodles  70g,33138734.54,A,0.032755984766354634,B,AB,33138734.54,1.1743494238921384,3537859.4377785004,3012612.230909091,Z,ABZ
8,Abuja,Supreme Noodles  120g,32207644.65,A,0.037005894759996466,B,AB,32207644.65,1.552651715654525,4546114.065728526,2927967.6954545453,Z,ABZ
9,Abuja,Kremela Milk Creamer 12g X 200,30699400.0,A,0.045454545454545456,B,AB,30699400.0,1.7296525430462504,4827208.661817642,2790854.5454545454,Z,ABZ
10,Abuja,Cherie Noodles  120g,30534325.9,A,0.08414033670601968,A,AA,30534325.9,2.7983791627752717,7767874.6679953905,2775847.809090909,Z,AAZ
11,Abuja,Sonia Tomato Paste Tin 210g x 48,29878604.34,A,0.035940126020898466,B,AB,29878604.34,1.127248330478011,3061873.3508434594,2716236.7581818183,Z,ABZ
12,Abuja,Devon King's cooking Oil 3L,25309690.0,A,0.04577725893065607,B,AB,25309690.0,1.5011219145970183,3453902.7555142734,2300880.909090909,Z,ABZ
13,Abuja,Cowbell Milk Beverage 12g*200,24458890.0,A,0.033666666666666664,B,AB,24458890.0,1.5059430597007954,3348517.7857713806,2223535.4545454546,Z,ABZ
14,Abuja,Sonia Tin Tomato Paste 2200g x 6,23428232.47,A,0.03370282211063302,B,AB,23428232.47,1.0159624766013995,2163836.8256922294,2129839.3154545454,Z,ABZ
15,Abuja,Cway Nutri Milk Apple 500ml,23234809.169999998,A,0.031234599877601153,B,AB,23234809.17,1.724969162119963,3643575.3914538305,2112255.3790909094,Z,ABZ
16,Abuja,Sonia Tomato Paste Sachet 400g X 24,21282790.67,A,0.09524297052247063,A,AA,21282790.67,1.3859293492244626,2681494.9293594155,1934799.151818182,Z,AAZ
17,Abuja,Milo Beverage Activ-Go Sachet 20g*200,19440335.08,A,0.03131504142677402,B,AB,19440335.080000002,1.7656048348165085,3120359.0552455434,1767303.1890909092,Z,ABZ
18,Abuja,Legend Extra stout 44cl x 24,18819032.19,A,0.03067267193983559,B,AB,18819032.189999998,1.615552939471718,2763922.070233398,1710821.108181818,Z,ABZ
19,Abuja,Trophy  Lager Beer Can 50cl*24,18147860.02,A,0.04065947319753966,B,AB,18147860.020000003,1.2005850977528045,1980731.845101447,1649805.4563636368,Z,ABZ
20,Abuja,Hero Beer Can 500ml * 24,17517348.28,A,0.04065947319753966,B,AB,17517348.28,1.1797870984679777,1878794.6818285654,1592486.2072727273,Z,ABZ
21,Abuja,Maggi Cubes Seasoning 20x4g x 100 pcs,17395349.31,A,0.04126631067885263,B,AB,17395349.310000002,2.2657046590146903,3582974.906986817,1581395.391818182,Z,ABZ
22,Abuja,Sonia Tomato Paste Tin 400g x 24,17313953.28,A,0.04000247680042109,B,AB,17313953.28,1.4494821362290593,2281478.7260785936,1573995.752727273,Z,ABZ
23,Abuja,Devon Kings's Cooking Oil 10L,16997300.0,A,0.061224489795918366,B,AB,16997300.0,1.5912723690034998,2458848.5306966533,1545209.0909090908,Z,ABZ
24,Abuja,Golden Penny Macaroni 500g,14107367.06,A,0.10766792527008094,A,AA,14107367.06,1.9147634878302218,2455661.032355162,1282487.9145454546,Z,AAZ
25,Abuja,Top Cafe  Creamy(3 In 1) 30g,13550390.38,A,0.030704979304421166,B,AB,13550390.379999999,1.438996559988034,1772633.1948468136,1231853.670909091,Z,ABZ
26,Abuja,Predator Energy Drink Gold 40cl,13524186.030000001,A,0.04882963979114598,B,AB,13524186.030000001,1.4943513434437248,1837262.3239012142,1229471.4572727273,Z,ABZ
27,Abuja,Golden Penny Twist 500g,13451627.81,A,0.047928842804379625,B,AB,13451627.809999999,1.412102911837789,1726825.7090417435,1222875.2554545454,Z,ABZ
28,Abuja,Cway Nutri milk Super Kids Apple,13352465.17,A,0.04758744306589974,B,AB,13352465.17,2.2249296907919747,2700754.200181701,1213860.47,Z,ABZ
29,Abuja,Indomie Noodles Super Pack Chicken Flavor 120g plus 4 packs free,12296604.12,A,0.016602285602133813,C,AC,12296604.12,2.610471498410907,2918175.871136558,1117873.1018181818,Z,ACZ
30,Abuja,Cway Nutri Milk Super Kids 210ml,12005228.5,A,0.024252698954254266,C,AC,12005228.5,2.1631822027013303,2360863.3300511627,1091384.4090909092,Z,ACZ
31,Abuja,Indomie Noodles Super Pack Chicken Flavor 120g plus 2 Packs Free,11884465.06,A,0.01378757940543159,C,AC,11884465.060000002,2.767465341964086,2989985.923757558,1080405.9145454548,Z,ACZ
32,Abuja,Good time Milk 200*12g,11525000.0,A,0.04021937842778794,B,AB,11525000.0,1.0085077520348236,1056641.0765637583,1047727.2727272727,Z,ABZ
33,Abuja,Peak Milk Full Cream Sachet 14g,10285050.0,A,0.07797260273972591,A,AA,10285050.0,1.4200568131340265,1327759.5750840108,935004.5454545454,Z,AAZ
34,Abuja,Milo Beverage Activ-Go Sachet 3 In 1 (30g),9929581.26,A,0.03362039139024569,B,AB,9929581.26,2.635199137805679,2378765.8159203115,902689.2054545454,Z,ABZ
35,Abuja,Sonia Tomato Paste Mix Sachet 60g,9778372.66,A,0.04109051104206245,B,AB,9778372.659999998,1.8088621827688955,1607975.3194268444,888942.9690909089,Z,ABZ
36,Abuja,Cway Nutri Milk Choco 400ml,9081069.44,A,0.03666743294892441,B,AB,9081069.440000001,1.370699203518784,1131583.149864252,825551.7672727274,Z,ABZ
